depth	min95%	max95%	best	acc.rate
1	-69	129	11	88.92
3	94	307	189	88.83
5	229	492	366	88.61
7	358	681	544	88.26
9	493	869	720	87.78
11	628	1057	895	87.16
13	763	1249	1069	86.42
15	893	1444	1241	85.55
17	1031	1632	1412	84.55
19	1164	1820	1581	83.42
21	1299	2014	1747	82.15
23	1436	2194	1910	80.76
25	1576	2371	2071	79.24
27	1718	2554	2229	77.59
29	1863	2726	2383	75.8
31	2011	2900	2534	73.89
33	2165	3079	2681	72.23
35	2320	3262	2825	71.68
37	2472	3443	2968	72.31
39	2639	3625	3114	74.11
41	2814	3792	3263	77.09
43	2990	3970	3419	81.24
45	3178	4162	3584	86.56
47	3378	4346	3761	92.96
49	3584	4535	3950	98.97
51	3779	4723	4150	103.95
53	3978	4914	4360	107.9
55	4179	5102	4578	110.82
57	4392	5299	4800	112.7
59	4607	5500	5026	113.55
61	4825	5693	5253	113.37
63	5049	5891	5480	112.16
65	5283	6091	5703	109.91
69	5715	6453	6133	102.32
71	5925	6637	6335	97.03
73	6124	6818	6526	91.48
79	6683	7309	7034	75.25
81	6834	7462	7182	69.98
83	6990	7601	7319	64.78
87	7249	7867	7563	54.59
91	7439	8128	7766	44.98
93	7515	8261	7854	40.8
96	7621	8455	7971	35.37
99	7693	8614	8072	30.97
101	7732	8740	8133	28.6
103	7769	8859	8189	26.68
105	7800	8984	8242	25.21
107	7826	9112	8292	24.2
109	7849	9233	8340	23.64
113	7897	9506	8434	23.51
115	7913	9648	8481	23.51
117	7926	9785	8528	23.51
119	7937	9929	8575	NA
