depth	min95%	max95%	best	acc.rate
1	-90	98	2	92.84
3	102	284	187	92.84
5	282	467	373	92.84
7	447	668	559	92.84
9	608	874	744	92.84
11	763	1084	930	92.84
13	926	1294	1116	92.84
15	1088	1502	1301	92.84
17	1249	1711	1487	92.84
19	1402	1922	1673	92.84
21	1560	2136	1858	92.84
23	1716	2349	2044	92.84
25	1867	2564	2230	92.84
27	2018	2778	2415	92.84
29	2170	2992	2601	92.84
31	2322	3205	2787	92.84
33	2448	3330	2909	29.18
35	2538	3355	2967	29.18
37	2628	3406	3025	29.18
39	2688	3467	3084	29.18
41	2766	3551	3142	29.18
43	2806	3633	3201	29.18
45	2836	3733	3259	29.18
47	2875	3822	3317	138.2
49	3169	4071	3594	138.2
51	3472	4314	3870	138.2
53	3764	4565	4146	138.2
55	4055	4817	4423	138.2
57	4348	5080	4699	138.2
59	4625	5372	4976	138.2
61	4902	5670	5252	138.2
63	5153	5978	5529	138.2
65	5404	6273	5805	138.2
69	5860	6903	6358	138.2
71	6096	7225	6634	60.22
73	6290	7267	6755	60.22
79	6754	7468	7116	60.22
81	6882	7584	7236	60.22
83	6956	7697	7357	60.22
87	7109	8018	7598	60.22
91	7263	8227	7769	25.29
93	7342	8254	7819	25.29
96	7432	8330	7895	25.29
99	7544	8407	7971	25.29
101	7591	8488	8022	25.29
103	7630	8569	8072	25.29
105	7655	8664	8123	25.29
107	7678	8781	8173	25.29
109	7695	8905	8224	25.29
113	7731	9126	8325	25.29
115	7747	9247	8376	25.29
117	7763	9373	8426	25.29
119	7772	9499	8477	NA
