year,co2conc,ch4conc,n2oconc,totforc
2122,1146.1344,3762.7938,462.46696,9.3075298
2123,1155.9064,3759.0657,463.58317,9.3543486
2124,1165.7401,3755.2678,464.68908,9.4010137
2125,1175.6176,3751.5152,465.78476,9.4474858
2126,1185.5295,3747.8324,466.87031,9.4937324
2127,1195.4833,3744.1677,467.94583,9.5397696
2128,1205.4772,3740.4818,469.0114,9.5855767
2129,1215.4661,3736.761,470.06712,9.6309539
2130,1225.453,3732.9982,471.11307,9.6759162
2131,1235.4493,3729.0271,472.14935,9.7204585
2132,1245.419,3724.7357,473.17605,9.7643873
2133,1255.397,3720.2514,474.19324,9.807908
2134,1265.4211,3715.7001,475.20102,9.851234
2135,1275.4843,3711.1863,476.19948,9.8943763
2136,1285.5943,3706.8175,477.1887,9.93741
2137,1295.7632,3702.6108,478.16876,9.9803929
2138,1305.9625,3698.5055,479.13975,10.023186
2139,1316.1708,3694.454,480.10175,10.065687
2140,1326.3936,3690.4353,481.05484,10.107914
2141,1336.6283,3686.4355,481.9991,10.149855
2142,1346.8594,3682.2832,482.93463,10.191389
2143,1357.0727,3677.8602,483.86148,10.232418
2144,1367.2797,3673.2877,484.77975,10.273042
2145,1377.5097,3668.6894,485.68952,10.313424
2146,1387.793,3664.168,486.59085,10.353725
2147,1398.1376,3659.8281,487.48384,10.394015
2148,1408.5226,3655.6842,488.36855,10.434221
2149,1418.9467,3651.6726,489.24506,10.474315
2150,1429.3969,3647.7413,490.11345,10.51423
2151,1439.8354,3643.8653,490.97378,10.553818
2152,1450.2111,3640.057,491.82356,10.592892
2153,1460.4793,3636.1713,492.66027,10.631235
2154,1470.5915,3632.0838,493.48397,10.668634
2155,1480.5564,3627.9101,494.29476,10.705179
2156,1490.4552,3623.7717,495.09271,10.741223
2157,1500.2994,3619.7692,495.87793,10.776855
2158,1510.0573,3616.0047,496.65053,10.812008
2159,1519.7332,3612.4911,497.41063,10.846713
2160,1529.3276,3609.1618,498.15835,10.880955
2161,1538.8274,3605.9611,498.89379,10.914675
2162,1548.2214,3602.8606,499.61708,10.947833
2163,1557.5025,3599.8406,500.32833,10.980406
2164,1566.6838,3596.7269,501.02764,11.012383
2165,1575.7093,3593.3957,501.71513,11.043533
2166,1584.5792,3589.9621,502.3909,11.073912
2167,1593.389,3586.5497,503.05507,11.1039
2168,1602.1444,3583.2613,503.70774,11.133561
2169,1610.8232,3580.2003,504.34901,11.162866
2170,1619.4189,3577.3804,504.979,11.191806
2171,1627.9283,3574.7354,505.59781,11.22035
2172,1636.3423,3572.209,506.20554,11.248455
2173,1644.6544,3569.7719,506.80229,11.276094
2174,1652.8621,3567.404,507.38816,11.303258
2175,1660.9472,3564.9323,507.96326,11.329828
2176,1668.8714,3562.2328,508.52769,11.355642
2177,1676.6491,3559.4204,509.08154,11.380797
2178,1684.3479,3556.6198,509.62491,11.405564
2179,1691.9855,3553.935,510.1579,11.430043
2180,1699.5543,3551.4703,510.6806,11.454257
2181,1707.0542,3549.2396,511.19312,11.478213
2182,1714.4671,3547.1764,511.69554,11.501834
2183,1721.7857,3545.2234,512.18796,11.52508
2184,1728.9986,3543.3509,512.67047,11.547909
2185,1736.073,3541.5386,513.14316,11.570218
2186,1743.0204,3539.6146,513.60612,11.59198
2187,1749.8272,3537.4557,514.05945,11.613113
2188,1756.4845,3535.1761,514.50323,11.633639
2189,1763.0469,3532.9015,514.93756,11.653777
2190,1769.542,3530.7365,515.36251,11.673657
2191,1775.972,3528.7856,515.77818,11.693327
2192,1782.3281,3527.0624,516.18465,11.712771
2193,1788.5985,3525.5001,516.58201,11.73193
2194,1794.7605,3524.0409,516.97035,11.750718
2195,1800.7999,3522.655,517.34973,11.769084
2196,1806.7334,3521.3221,517.72026,11.787076
2197,1812.5201,3519.8709,518.08201,11.804509
2198,1818.1423,3518.1791,518.43506,11.821288
2199,1823.6498,3516.3611,518.77949,11.837608
2200,1829.0556,3514.5423,519.11539,11.85356
2201,1834.3733,3512.8271,519.44283,11.869227
2202,1839.6122,3511.319,519.76189,11.884678
2203,1844.7812,3510.0312,520.07266,11.899947
2204,1849.8682,3508.8966,520.37519,11.914976
2205,1854.849,3507.8575,520.66958,11.929674
2206,1859.7106,3506.884,520.9559,11.943997
2207,1864.4469,3505.9561,521.23422,11.95792
2208,1869.0362,3504.9031,521.50462,11.97132
2209,1873.4672,3503.6035,521.76717,11.98412
2210,1877.784,3502.1725,522.02194,11.996493
2211,1881.9947,3500.7361,522.26901,12.008513
2212,1886.1097,3499.3992,522.50845,12.020254
2213,1890.1554,3498.2652,522.74033,12.031832
2214,1894.1313,3497.3468,522.96471,12.043253
2215,1898.0123,3496.5767,523.18168,12.054421
2216,1901.7766,3495.8972,523.39129,12.065255
2217,1905.4235,3495.2788,523.59362,12.075743
2218,1908.9603,3494.7016,523.78873,12.0859
2219,1912.3445,3493.9957,523.97669,12.095544
2220,1915.5465,3493.0404,524.15757,12.104546
2221,1918.6217,3491.952,524.33143,12.113109
2222,1921.6126,3490.8566,524.49834,12.121402
2223,1924.5227,3489.8584,524.65837,12.129476
2224,1927.352,3489.0597,524.81157,12.137374
2225,1930.1,3488.4727,524.95801,12.145098
2226,1932.7513,3488.0301,525.09776,12.152582
2227,1935.2926,3487.6744,525.23087,12.159769
2228,1937.7127,3487.376,525.35741,12.166616
2229,1940.0103,3487.115,525.47744,12.173115
2230,1942.1583,3486.7224,525.59101,12.179125
2231,1944.1572,3486.0784,525.6982,12.184604
2232,1946.0278,3485.2991,525.79905,12.189654
2233,1947.7762,3484.5106,525.89363,12.194342
2234,1949.4392,3483.817,525.982,12.198811
2235,1951.0121,3483.3203,526.06421,12.203088
2236,1952.5138,3483.0325,526.14033,12.207232
2237,1953.9433,3482.886,526.2104,12.211213
2238,1955.2718,3482.8232,526.27448,12.21493
2239,1956.4604,3482.8143,526.33263,12.218268
2240,1957.4929,3482.8402,526.38491,12.221174
2241,1958.428,3482.7325,526.43137,12.223745
2242,1959.1897,3482.3719,526.47206,12.225726
2243,1959.7707,3481.875,526.50704,12.227144
2244,1960.2847,3481.3684,526.53636,12.228359
2245,1960.7288,3480.9554,526.56008,12.229402
2246,1961.0674,3480.7373,526.57823,12.230217
2247,1961.3194,3480.7257,526.59089,12.230861
2248,1961.4957,3480.853,526.59809,12.231336
2249,1961.5683,3481.0617,526.5999,12.231545
2250,1961.5774,3481.1807,526.59945,12.231577
2251,1961.5774,3481.1807,526.59945,12.231577
2252,1961.5774,3481.1807,526.59945,12.231577
2253,1961.5774,3481.1807,526.59945,12.231577
2254,1961.5774,3481.1807,526.59945,12.231577
2255,1961.5774,3481.1807,526.59945,12.231577
2256,1961.5774,3481.1807,526.59945,12.231577
2257,1961.5774,3481.1807,526.59945,12.231577
2258,1961.5774,3481.1807,526.59945,12.231577
2259,1961.5774,3481.1807,526.59945,12.231577
2260,1961.5774,3481.1807,526.59945,12.231577
2261,1961.5774,3481.1807,526.59945,12.231577
2262,1961.5774,3481.1807,526.59945,12.231577
2263,1961.5774,3481.1807,526.59945,12.231577
2264,1961.5774,3481.1807,526.59945,12.231577
2265,1961.5774,3481.1807,526.59945,12.231577
2266,1961.5774,3481.1807,526.59945,12.231577
2267,1961.5774,3481.1807,526.59945,12.231577
2268,1961.5774,3481.1807,526.59945,12.231577
2269,1961.5774,3481.1807,526.59945,12.231577
2270,1961.5774,3481.1807,526.59945,12.231577
2271,1961.5774,3481.1807,526.59945,12.231577
