year,co2conc,ch4conc,n2oconc,totforc
2123,410.22339,1243.1908,343.05717,2.2585571
2124,409.7593,1243.123,343.01977,2.2515928
2125,409.30847,1243.1116,342.98271,2.2448672
2126,408.8627,1243.1545,342.94599,2.2382585
2127,408.41656,1243.2313,342.9096,2.231674
2128,407.96956,1243.3293,342.87355,2.2250979
2129,407.52073,1243.4426,342.83782,2.2185131
2130,407.07051,1243.5661,342.80242,2.2119214
2131,406.61189,1243.6476,342.76734,2.2051924
2132,406.14707,1243.6595,342.73258,2.1983343
2133,405.69286,1243.6418,342.69813,2.1915972
2134,405.25809,1243.6232,342.664,2.1851188
2135,404.84413,1243.6271,342.63018,2.1789347
2136,404.44922,1243.6789,342.59667,2.1730409
2137,404.06507,1243.7773,342.56346,2.1673272
2138,403.68161,1243.9027,342.53056,2.1616463
2139,403.29415,1244.043,342.49795,2.1559273
2140,402.90226,1244.1931,342.46564,2.1501604
2141,402.50662,1244.3485,342.43363,2.1443511
2142,402.10056,1244.4576,342.4019,2.1383731
2143,401.68653,1244.4933,342.37047,2.1322387
2144,401.28131,1244.4961,342.33932,2.1262004
2145,400.89375,1244.4949,342.30846,2.1203973
2146,400.52523,1244.5137,342.27787,2.1148656
2147,400.17404,1244.5779,342.24757,2.1096016
2148,399.83204,1244.6866,342.21754,2.1044959
2149,399.4893,1244.8204,342.18778,2.0994022
2150,399.14131,1244.9675,342.1583,2.0942512
2151,398.78772,1245.123,342.12908,2.0890345
2152,398.42927,1245.2826,342.10013,2.0837588
2153,398.0595,1245.3949,342.07144,2.0782995
2154,397.68091,1245.4328,342.04301,2.0726706
2155,397.31021,1245.4369,342.01485,2.0671258
2156,396.95616,1245.4364,341.98693,2.0618038
2157,396.62009,1245.4552,341.95928,2.0567405
2158,396.3003,1245.5189,341.93187,2.051932
2159,395.98871,1245.6266,341.90472,2.0472688
2160,395.67554,1245.7589,341.87781,2.042605
2161,395.35634,1245.9042,341.85114,2.037872
2162,395.03085,1246.0576,341.82472,2.0330625
2163,394.69985,1246.2148,341.79854,2.0281838
2164,394.357,1246.3245,341.7726,2.0231126
2165,394.00489,1246.3596,341.74689,2.0178642
2166,393.6601,1246.3609,341.72142,2.0126926
2167,393.33128,1246.3575,341.69618,2.0077364
2168,393.01974,1246.3732,341.67117,2.0030309
2169,392.72374,1246.4337,341.64638,1.9985715
2170,392.43525,1246.5381,341.62183,1.9942483
2171,392.1446,1246.6671,341.59749,1.989916
2172,391.84744,1246.8091,341.57338,1.9855066
2173,391.54354,1246.9591,341.54949,1.9810132
2174,391.2337,1247.1129,341.52581,1.9764437
2175,390.91172,1247.2192,341.50235,1.971676
2176,390.58024,1247.251,341.4791,1.9667263
2177,390.25571,1247.249,341.45607,1.961849
2178,389.94668,1247.2422,341.43324,1.9571823
2179,389.65441,1247.2547,341.41063,1.9527607
2180,389.37713,1247.3119,341.38821,1.948579
2181,389.10687,1247.4131,341.36601,1.9445271
2182,388.83404,1247.5389,341.344,1.9404597
2183,388.55437,1247.6777,341.3222,1.9363094
2184,388.26765,1247.8245,341.30059,1.9320699
2185,387.97473,1247.9753,341.27918,1.9277494
2186,387.6695,1248.0785,341.25796,1.9232267
2187,387.35465,1248.1073,341.23694,1.9185192
2188,387.04651,1248.1024,341.21611,1.9138814
2189,386.75353,1248.0928,341.19547,1.9094508
2190,386.47692,1248.1024,341.17501,1.9052615
2191,386.21487,1248.1569,341.15475,1.9013074
2192,385.95946,1248.2552,341.13466,1.8974781
2193,385.70118,1248.3783,341.11476,1.8936285
2194,385.43582,1248.5144,341.09504,1.8896917
2195,385.16322,1248.6586,341.0755,1.8856617
2196,384.88424,1248.8068,341.05614,1.8815471
2197,384.59286,1248.9075,341.03696,1.8772277
2198,384.29183,1248.9338,341.01794,1.8727217
2199,383.99735,1248.9265,340.99911,1.8682837
2200,383.71778,1248.9145,340.98044,1.8640507
2201,383.45425,1248.9217,340.96194,1.8600561
2202,383.20495,1248.9739,340.94361,1.8562931
2203,382.96197,1249.0699,340.92545,1.852651
2204,382.71591,1249.1907,340.90746,1.8489847
2205,382.4626,1249.3246,340.88962,1.8452278
2206,382.20191,1249.4666,340.87195,1.8413747
2207,381.93471,1249.6126,340.85444,1.8374344
2208,381.6551,1249.7112,340.83709,1.8332873
2209,381.36585,1249.7354,340.8199,1.8289527
2210,381.08304,1249.7261,340.80287,1.824685
2211,380.81494,1249.7121,340.78599,1.8206209
