year,co2conc,ch4conc,n2oconc,totforc
2011,391.27357,1770.3696,323.66136,2.0873262
2012,393.4211,1773.634,324.35776,2.1294562
2013,395.58283,1776.916,325.0557,2.1718654
2014,397.76408,1780.2442,325.75517,2.2141785
2015,399.96631,1783.6532,326.45616,2.2566585
2016,402.18432,1787.1405,327.15866,2.299251
2017,404.41077,1790.6772,327.86264,2.3418578
2018,406.64292,1794.2446,328.56811,2.3844425
2019,408.8817,1797.8331,329.27503,2.4274413
2020,411.12868,1801.4336,329.98341,2.4699551
2021,413.37804,1804.9692,330.69322,2.5107514
2022,415.63944,1808.3032,331.40414,2.5511237
2023,417.93551,1811.4034,332.11582,2.5919114
2024,420.27395,1814.3245,332.82825,2.632821
2025,422.65593,1817.1155,333.54143,2.673905
2026,425.07983,1819.8284,334.25534,2.7151681
2027,427.53791,1822.4758,334.96997,2.7565244
2028,430.0206,1825.0416,335.68531,2.7978488
2029,432.5234,1827.5186,336.40136,2.8390857
2030,435.04594,1829.9083,337.11811,2.8805377
2031,437.58886,1832.2116,337.83556,2.9225181
2032,440.13137,1834.2573,338.5514,2.9639321
2033,442.66419,1835.9165,339.26337,3.0042179
2034,445.20699,1837.2698,339.97144,3.0440098
2035,447.76978,1838.3808,340.67563,3.0834365
2036,450.35539,1839.3058,341.37592,3.1225384
2037,452.96337,1840.1035,342.07235,3.1613183
2038,455.58649,1840.7918,342.76495,3.1996875
2039,458.2152,1841.3593,343.45375,3.2375197
2040,460.84499,1841.8029,344.13879,3.2750676
2041,463.47549,1842.1277,344.82011,3.3126456
2042,466.09336,1842.2412,345.49546,3.349384
2043,468.67807,1841.988,346.16264,3.3847214
2044,471.23389,1841.3496,346.82167,3.4191645
2045,473.78031,1840.4075,347.47259,3.4530458
2046,476.32819,1839.2273,348.11545,3.4865759
2047,478.88085,1837.8661,348.7503,3.5198608
2048,481.43826,1836.3831,349.37722,3.5529558
2049,483.99308,1834.7965,349.99627,3.5858121
2050,486.53532,1833.0944,350.60754,3.6173051
2051,489.06035,1831.2756,351.21109,3.6463707
2052,491.53558,1829.2097,351.80717,3.6736211
2053,493.93186,1826.7763,352.39606,3.6997525
2054,496.24365,1823.9312,352.97782,3.7247351
2055,498.47436,1820.661,353.55252,3.7486124
2056,500.64502,1817.0522,354.12023,3.7716755
2057,502.76788,1813.1751,354.681,3.7941065
2058,504.84729,1809.0911,355.23491,3.815995
2059,506.88408,1804.8626,355.78201,3.8373926
2060,508.87135,1800.5112,356.32237,3.8579947
2061,510.79905,1796.029,356.85605,3.8774453
2062,512.64717,1791.3398,357.38243,3.8957668
2063,514.40151,1786.3824,357.90088,3.9130469
2064,516.06461,1781.1776,358.41148,3.9293236
2065,517.62854,1775.6742,358.91428,3.9444869
2066,519.09606,1769.8516,359.40934,3.9585555
2067,520.48828,1763.7874,359.89673,3.9717959
2068,521.81772,1757.5445,360.37652,3.9843749
2069,523.08871,1751.1765,360.84878,3.9963695
2070,524.30217,1744.7388,361.31358,4.0075677
2071,525.45089,1738.2476,361.77097,4.0176506
2072,526.50901,1731.6149,362.22036,4.0265759
2073,527.45707,1724.7672,362.66114,4.0343716
2074,528.29593,1717.7215,363.09336,4.041052
2075,529.02718,1710.4939,363.5171,4.0466425
2076,529.64253,1703.0317,363.93242,4.0510261
2077,530.14419,1695.3121,364.3394,4.0542094
2078,530.55341,1687.4256,364.73811,4.0564594
2079,530.88313,1679.5515,365.12863,4.05801
2080,531.13797,1671.8286,365.51103,4.0579978
2081,531.31935,1664.2839,365.88539,4.055443
2082,531.48991,1657.1219,366.2538,4.0528141
2083,531.70213,1650.4938,366.61836,4.0517091
2084,531.94208,1644.3245,366.97916,4.0511884
2085,532.20472,1638.5564,367.33624,4.0511669
2086,532.48672,1633.1396,367.68968,4.0515812
2087,532.77553,1627.9657,368.03952,4.0522382
2088,533.06978,1622.9629,368.38579,4.0530792
2089,533.38792,1618.1547,368.72852,4.0543036
2090,533.74072,1613.5543,369.06775,4.0560222
2091,534.13086,1609.1698,369.4035,4.0582617
2092,534.55754,1605.0136,369.73581,4.0610238
2093,535.01142,1601.0651,370.0647,4.064205
2094,535.47962,1597.2813,370.39021,4.0676491
2095,535.95487,1593.6308,370.71236,4.0712635
2096,536.4351,1590.0932,371.03119,4.0750146
2097,536.91986,1586.6513,371.34672,4.0788866
2098,537.39855,1583.2279,371.65898,4.0827245
2099,537.87136,1579.7777,371.96801,4.0865012
2100,538.3583,1576.3458,372.27383,4.0902041
2101,538.8715,1572.9651,372.57648,4.0937349
2102,539.38819,1569.8136,372.87385,4.0973846
2103,539.88381,1567.0533,373.16386,4.1012115
2104,540.35213,1564.6447,373.44653,4.1049261
2105,540.78203,1562.5289,373.72189,4.1083854
2106,541.16804,1560.6601,373.98999,4.1115109
2107,541.50962,1559.0055,374.25087,4.1142807
2108,541.80769,1557.5365,374.50461,4.1166896
2109,542.05261,1556.1674,374.75127,4.1185913
2110,542.24555,1554.8445,374.9909,4.1199666
2111,542.40767,1553.6041,375.22359,4.1210499
2112,542.55941,1552.4713,375.44938,4.1220612
2113,542.71221,1551.4648,375.66834,4.1231272
2114,542.86612,1550.6065,375.88053,4.1242644
2115,543.01262,1549.8852,376.08601,4.1253836
2116,543.13926,1549.2673,376.28485,4.1263426
2117,543.23925,1548.7291,376.4771,4.1270611
2118,543.31105,1548.2571,376.66283,4.1275171
2119,543.35475,1547.84,376.84209,4.1277055
2120,543.35993,1547.4073,377.01495,4.1274799
2121,543.32712,1546.9191,377.18145,4.1268206
2122,543.28815,1546.423,377.34167,4.1260717
2123,543.26597,1545.9542,377.49566,4.1254824
2124,543.26382,1545.5401,377.64347,4.1251028
2125,543.28162,1545.2106,377.78516,4.1249548
2126,543.31031,1544.9617,377.92079,4.1249466
2127,543.337,1544.7657,378.05041,4.1249313
2128,543.35452,1544.6047,378.17408,4.1248275
2129,543.36102,1544.4702,378.29185,4.1246121
2130,543.35628,1544.3551,378.40378,4.1242792
2131,543.32954,1544.1928,378.50991,4.1236812
2132,543.28277,1543.947,378.61031,4.1228146
2133,543.23814,1543.6681,378.70503,4.1219301
2134,543.20814,1543.3938,378.79411,4.1211748
2135,543.19691,1543.1543,378.87762,4.1206088
2136,543.20476,1542.9814,378.95559,4.1202559
2137,543.22301,1542.8731,379.02809,4.1200294
2138,543.23901,1542.8037,379.09516,4.1197891
2139,543.2458,1542.7566,379.15685,4.1194564
2140,543.24169,1542.7249,379.21322,4.1190103
2141,543.22663,1542.7027,379.2643,4.1184469
2142,543.18977,1542.6246,379.31015,4.1176184
2143,543.13128,1542.4553,379.35082,4.1165043
2144,543.07193,1542.2462,379.38635,4.1153415
2145,543.02451,1542.0358,379.4168,4.1142806
2146,542.9934,1541.8547,379.4422,4.113384
2147,542.97911,1541.7355,379.4626,4.1126776
2148,542.97309,1541.6766,379.47806,4.1120764
2149,542.96279,1541.6527,379.48861,4.1114412
2150,542.95532,1541.6471,379.49266,4.1111011
2151,542.95532,1541.6471,379.49266,4.1111011
2152,542.95532,1541.6471,379.49266,4.1111011
2153,542.95532,1541.6471,379.49266,4.1111011
2154,542.95532,1541.6471,379.49266,4.1111011
2155,542.95532,1541.6471,379.49266,4.1111011
2156,542.95532,1541.6471,379.49266,4.1111011
2157,542.95532,1541.6471,379.49266,4.1111011
2158,542.95532,1541.6471,379.49266,4.1111011
2159,542.95532,1541.6471,379.49266,4.1111011
2160,542.95532,1541.6471,379.49266,4.1111011
2161,542.95532,1541.6471,379.49266,4.1111011
2162,542.95532,1541.6471,379.49266,4.1111011
2163,542.95532,1541.6471,379.49266,4.1111011
2164,542.95532,1541.6471,379.49266,4.1111011
2165,542.95532,1541.6471,379.49266,4.1111011
2166,542.95532,1541.6471,379.49266,4.1111011
2167,542.95532,1541.6471,379.49266,4.1111011
2168,542.95532,1541.6471,379.49266,4.1111011
2169,542.95532,1541.6471,379.49266,4.1111011
2170,542.95532,1541.6471,379.49266,4.1111011
2171,542.95532,1541.6471,379.49266,4.1111011
2172,542.95532,1541.6471,379.49266,4.1111011
2173,542.95532,1541.6471,379.49266,4.1111011
2174,542.95532,1541.6471,379.49266,4.1111011
2175,542.95532,1541.6471,379.49266,4.1111011
2176,542.95532,1541.6471,379.49266,4.1111011
2177,542.95532,1541.6471,379.49266,4.1111011
2178,542.95532,1541.6471,379.49266,4.1111011
2179,542.95532,1541.6471,379.49266,4.1111011
2180,542.95532,1541.6471,379.49266,4.1111011
2181,542.95532,1541.6471,379.49266,4.1111011
2182,542.95532,1541.6471,379.49266,4.1111011
2183,542.95532,1541.6471,379.49266,4.1111011
2184,542.95532,1541.6471,379.49266,4.1111011
2185,542.95532,1541.6471,379.49266,4.1111011
2186,542.95532,1541.6471,379.49266,4.1111011
2187,542.95532,1541.6471,379.49266,4.1111011
2188,542.95532,1541.6471,379.49266,4.1111011
2189,542.95532,1541.6471,379.49266,4.1111011
2190,542.95532,1541.6471,379.49266,4.1111011
2191,542.95532,1541.6471,379.49266,4.1111011
2192,542.95532,1541.6471,379.49266,4.1111011
2193,542.95532,1541.6471,379.49266,4.1111011
2194,542.95532,1541.6471,379.49266,4.1111011
2195,542.95532,1541.6471,379.49266,4.1111011
2196,542.95532,1541.6471,379.49266,4.1111011
2197,542.95532,1541.6471,379.49266,4.1111011
2198,542.95532,1541.6471,379.49266,4.1111011
2199,542.95532,1541.6471,379.49266,4.1111011
2200,542.95532,1541.6471,379.49266,4.1111011
2201,542.95532,1541.6471,379.49266,4.1111011
2202,542.95532,1541.6471,379.49266,4.1111011
2203,542.95532,1541.6471,379.49266,4.1111011
2204,542.95532,1541.6471,379.49266,4.1111011
2205,542.95532,1541.6471,379.49266,4.1111011
2206,542.95532,1541.6471,379.49266,4.1111011
2207,542.95532,1541.6471,379.49266,4.1111011
2208,542.95532,1541.6471,379.49266,4.1111011
2209,542.95532,1541.6471,379.49266,4.1111011
2210,542.95532,1541.6471,379.49266,4.1111011
2211,542.95532,1541.6471,379.49266,4.1111011
2212,542.95532,1541.6471,379.49266,4.1111011
2213,542.95532,1541.6471,379.49266,4.1111011
2214,542.95532,1541.6471,379.49266,4.1111011
2215,542.95532,1541.6471,379.49266,4.1111011
2216,542.95532,1541.6471,379.49266,4.1111011
2217,542.95532,1541.6471,379.49266,4.1111011
2218,542.95532,1541.6471,379.49266,4.1111011
2219,542.95532,1541.6471,379.49266,4.1111011
2220,542.95532,1541.6471,379.49266,4.1111011
2221,542.95532,1541.6471,379.49266,4.1111011
2222,542.95532,1541.6471,379.49266,4.1111011
2223,542.95532,1541.6471,379.49266,4.1111011
2224,542.95532,1541.6471,379.49266,4.1111011
2225,542.95532,1541.6471,379.49266,4.1111011
2226,542.95532,1541.6471,379.49266,4.1111011
2227,542.95532,1541.6471,379.49266,4.1111011
2228,542.95532,1541.6471,379.49266,4.1111011
2229,542.95532,1541.6471,379.49266,4.1111011
2230,542.95532,1541.6471,379.49266,4.1111011
2231,542.95532,1541.6471,379.49266,4.1111011
2232,542.95532,1541.6471,379.49266,4.1111011
2233,542.95532,1541.6471,379.49266,4.1111011
2234,542.95532,1541.6471,379.49266,4.1111011
2235,542.95532,1541.6471,379.49266,4.1111011
2236,542.95532,1541.6471,379.49266,4.1111011
2237,542.95532,1541.6471,379.49266,4.1111011
2238,542.95532,1541.6471,379.49266,4.1111011
2239,542.95532,1541.6471,379.49266,4.1111011
2240,542.95532,1541.6471,379.49266,4.1111011
2241,542.95532,1541.6471,379.49266,4.1111011
2242,542.95532,1541.6471,379.49266,4.1111011
2243,542.95532,1541.6471,379.49266,4.1111011
2244,542.95532,1541.6471,379.49266,4.1111011
2245,542.95532,1541.6471,379.49266,4.1111011
2246,542.95532,1541.6471,379.49266,4.1111011
2247,542.95532,1541.6471,379.49266,4.1111011
2248,542.95532,1541.6471,379.49266,4.1111011
2249,542.95532,1541.6471,379.49266,4.1111011
2250,542.95532,1541.6471,379.49266,4.1111011
2251,542.95532,1541.6471,379.49266,4.1111011
2252,542.95532,1541.6471,379.49266,4.1111011
2253,542.95532,1541.6471,379.49266,4.1111011
2254,542.95532,1541.6471,379.49266,4.1111011
2255,542.95532,1541.6471,379.49266,4.1111011
2256,542.95532,1541.6471,379.49266,4.1111011
2257,542.95532,1541.6471,379.49266,4.1111011
2258,542.95532,1541.6471,379.49266,4.1111011
2259,542.95532,1541.6471,379.49266,4.1111011
2260,542.95532,1541.6471,379.49266,4.1111011
2261,542.95532,1541.6471,379.49266,4.1111011
