"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.063",151.25314583676,75.4014937083261,54.6150247090372,43.6109891260332,35.082920799126,29.7795407983248,26.1772073507605
"discount1.064",147.437688655681,73.5701538408135,53.3578834891039,42.8188562270218,34.5512488296833,29.3587929631486,25.7986275635113
"discount1.065",143.745190902759,71.7214743920863,52.2737939488429,42.1111674554066,34.0030263814911,28.9509250518133,25.4318365988067
"discount1.066",140.173182189326,69.9151077593599,51.1599256798674,41.3344547634531,33.463450728085,28.5553280053182,25.0762683445677
"discount1.067",136.718936037017,68.3867143232727,50.1897367113173,40.5916205693311,32.9416240865511,28.1714314246413,24.7313932704635
"discount1.068",133.379565406587,66.916031023312,49.2532310472687,39.8374452427466,32.4762513452632,27.7987005192206,24.3967154414543
"discount1.069",130.152101545958,65.478125130711,48.3439126505985,39.2054757779273,32.000570609345,27.4366204095277,24.0717698489242
"discount1.07",127.033390978994,64.0433514644667,47.4135805936905,38.4805749347008,31.5718467624829,27.0847305992226,23.7561199810363
"discount1.071",124.020333478658,62.6066676445628,46.552918048164,37.8500941563713,31.118196508154,26.7427943210689,23.4493556450577
"discount1.072",121.109723445108,61.1918542096337,45.6694407288466,37.239527531769,30.6875841756929,26.4101934356393,23.1510909843894
"discount1.073",118.298352735427,59.9003887933319,44.8732291009288,36.6270783246795,30.2838397988001,26.0864948340583,22.860962662378
"discount1.074",115.583011782382,58.6604484137323,44.1562142035963,36.0827320847104,29.8526287276995,25.7713302119951,22.5786282318459
"discount1.075",112.960563613959,57.4697610492521,43.3897485803308,35.5729108552915,29.4408043157866,25.4643518997278,22.3037646290227
"discount1.076",110.427737368966,56.3417439396264,42.7547231253187,35.015971410972,29.0463499079074,25.1648656984858,22.036066803754
"discount1.077",107.981509672485,55.2587364441805,42.0553002176796,34.4681604981234,28.6781528876236,24.8728009715016,21.775246468468
"discount1.078",105.618786356116,54.2154466250392,41.4088062169187,33.9639796517118,28.2932357891131,24.5884555219317,21.5210309401248
"discount1.079",103.336558208825,53.2097850360283,40.7745400780264,33.5184851894545,27.9255596796008,24.3111047739646,21.2731486514114
"discount1.08",101.13188490475,52.2398090794576,40.0846621628146,33.0965032866747,27.5941176485824,24.0404825281859,21.0313686690188
"discount1.081",99.0018943263299,51.2401406936445,39.4003720282092,32.6662950829748,27.2491601759541,23.7763362643659,20.7955235890609
"discount1.082",96.9437903843195,50.3570142342594,38.7671495918649,32.2292329787732,26.9187689864876,23.5184262600039,20.5652704145629
"discount1.083",94.9548559005698,49.5305728239885,38.2167180232671,31.7874940546118,26.5819766771698,23.2665247747333,20.3404605971197
"discount1.084",93.0323945168072,48.7294825376144,37.6628147567152,31.3422067982922,26.2670749310151,23.0204152980071,20.1208951413687
"discount1.085",91.1739713921519,47.924453944138,37.1271428286268,30.933348455095,25.9501090590574,22.7798918550939,19.9063849393855
"discount1.086",89.3770160778697,47.1204854972435,36.580874250491,30.5317013819152,25.6339492529557,22.5447583621191,19.6967501432816
"discount1.087",87.6391639251335,46.3418699384022,36.0333501219492,30.1293031001209,25.3284663310515,22.3148280325044,19.4918195807392
"discount1.088",85.958107151079,45.58748080103,35.5386542079284,29.7378412653494,25.0438346029831,22.0899228219908,19.2914302208961
"discount1.089",84.3316206944855,44.8212898020126,35.0695044333763,29.3628640609332,24.7542995611298,21.8698729166574,19.0954266801425
"discount1.09",82.7575613776488,44.1137985252067,34.6128263536415,29.0146870076888,24.4682865744833,21.654516254275,18.9036607668879
"discount1.091",81.2338665967896,43.42780326685,34.1681193325131,28.6695318081753,24.1891538546064,21.4431763286975,18.7159910609699
"discount1.092",79.7585530981073,42.762352867933,33.7389212018685,28.3413918260401,23.9164334749231,21.2355905205539,18.5322825177697
"discount1.093",78.3297151698033,42.1271460723128,33.3227150205115,28.0094241726299,23.647578201893,21.0322245445438,18.3524061120398
