"region","site","latitude_wgs84","longitude_wgs84","elevation_masl","sample_year","species"
"Russia, North of West Siberia","Gupkinskoe",64.55025,76.95076,40,"2013","S.fuscum"
"Russia, North of West Siberia","Hanimey",63.78,75.55,66,"2014","S.fuscum+S.magellanicum"
"Russia, North of West Siberia","Pangody",65.87059,74.95099,62,"2013","S.fuscum"
"Russia, North of West Siberia","Tetu-Mamontotay",63.221,75.7112,118,"2013","S.fuscum+S.magellanicum"
"Russia, South of West Siberia","Nikolaevka",55.1316,79.0316,119,"2013","S.fuscum+S.magellanicum"
"Russia, South of West Siberia","Plotnikovo",56.85009,82.8311,118,"2013","S.fuscum+S.magellanicum"
"Russia, St-Petersburg region","Nizhne-Svirsky State Natural Reserve",60.6667,33.0378,6,"2013","S.fuscum+S.magellanicum"
"Russia, St-Petersburg region","Ozernoe mire",60.3518,29.55455,55,"2013","S.fuscum+S.magellanicum"
"Russia, St-Petersburg region","Stroganovo",59.28565,30.00917,113,"2013","S.fuscum+S.magellanicum"
"Russia, St-Petersburg region","Vsevolozhsk",60.0642,30.65478,33,"2013","S.fuscum+S.magellanicum"
"Sweden (N)","Abisko mire",68.35916,18.81038,356,"2013","S.fuscum"
"Sweden (N)","Stordalen",68.3528,19.03689,378,"2013","S.fuscum"
"Sweden (N)","Storflaket",68.34711,18.97589,387,"2013","S.fuscum"
"Sweden (S)","Kulflyten",59.90254,15.83353,137,"2013","S.fuscum+S.magellanicum"
"Sweden (S)","Store mosse",57.29919,13.94138,163,"2013","S.fuscum+S.magellanicum"
"Sweden (S)","Traneröds mosse",56.04455,13.18672,168,"2013","S.fuscum+S.magellanicum"
"Switzerland, Jura","Etang de la Gruere",47.23962,7.049483,1003,"2014","S.fuscum+S.magellanicum"
"Switzerland, Jura","Le Cachot",47.00566,6.665169,1052,"2014","S.fuscum+S.magellanicum"
"UK, England","Fenns and Whixall Mosses",52.915,-2.773,90,"2013","S.magellanicum"
"UK, Scotland","Flanders Moss",56.151,-4.207,19,"2013","S.magellanicum"
"UK, Scotland","Forsinard Flows",58.382,-3.828,182,"2013","S.fuscum+S.magellanicum"
"UK, Scotland","Moidach More",57.453,-3.629,274,"2013","S.magellanicum"
"UK,Wales","Cors Fochno",52.502,-4.011,4,"2013","S.fuscum+S.magellanicum"
"USA, Interior Alaska, Healy","CiPEHR",63.88202,-149.2269,671,"2014","S.fuscum+S.magellanicum"
"USA, Maine","Great Waas Island",44.47215,-67.582071,15,"2013","S.fuscum+S.magellanicum"
"USA, Maine","Orono Bog",44.86972,-68.727243,42,"2013","S.fuscum+S.magellanicum"
"USA, Maine","Saco Heath",43.54597,-70.47155,43,"2013","S.fuscum+S.magellanicum"
"USA, New York","Bloomindale Bog",44.38378,-74.140796,474,"2013","S.fuscum"
"USA, New York","Greenwoods Conservancy",42.71707,-75.0990505,545,"2013","S.fuscum+S.magellanicum"
"USA, New York","Lake Desolation",43.16206,-73.977556,514,"2013","S.fuscum+S.magellanicum"
"USA, New York","Silver Lake",44.51117,-73.885986,449,"2013","S.magellanicum"
