Region,Site,Patch_id,Species,Patch_coord_lat,Patch_coord_lon,iso_18O_all,iso_13C_all,prod,bowen_18O_annual,bowen_18O_AprSep,bowen_18O_JanApr,bowen_18O_annual.w,bowen_18O_AprSep.w,bowen_18O_JanApr.w,HWT_end_season,elevation,avt,evap,precip,samp_year
Sweden (S),Kulflyten,FU02,S.fuscum,59.90254,15.83353,22.13928151,-27.88062602,123.394536446667,-11.56895804,-10.03791444,-12.89499831,-11.11548013,-9.863095128,-12.74185133,24,137,13.2403452556667,578.8557581,446.80299953,2013
Sweden (S),Kulflyten,FU04,S.fuscum,59.90254,15.83353,22.57803298,-26.26033142,283.803963193333,-11.56895804,-10.03791444,-12.89499831,-11.11548013,-9.863095128,-12.74185133,44.5,137,13.2403452556667,578.8557581,446.80299953,2013
Sweden (S),Store mosse,F1,S.fuscum,57.29919,13.94138,20.93983117,-27.64842471,290.882519466667,-10.71442684,-9.301710447,-11.98193669,-10.65508798,-9.249823066,-11.99708056,32.4,163,13.4051910396667,611.29933558,402.17122797,2013
Sweden (S),Store mosse,F3,S.fuscum,57.29919,13.94138,21.87819003,-28.00746727,100.044585996667,-10.71442684,-9.301710447,-11.98193669,-10.65508798,-9.249823066,-11.99708056,33,163,13.4051910396667,611.29933558,402.17122797,2013
Sweden (S),Store mosse,M1,S.magellanicum,57.29919,13.94138,21.65734197,-26.56925123,165.7256617,-10.71442684,-9.301710447,-11.98193669,-10.65508798,-9.249823066,-11.99708056,9.9,163,13.4051910396667,611.29933558,402.17122797,2013
Sweden (S),Store mosse,M3,S.magellanicum,57.29919,13.94138,22.3650373,-27.05206628,64.4813163466667,-10.71442684,-9.301710447,-11.98193669,-10.65508798,-9.249823066,-11.99708056,19.6,163,13.4051910396667,611.29933558,402.17122797,2013
Sweden (S),Traneröds mosse,F5,S.fuscum,56.04455,13.18672,22.71937574,-27.48680442,22.16243454,-10.07850989,-8.744557222,-11.27933621,-10.14302549,-8.638507786,-11.59939755,44.9,168,15.009169515,535.61996357,358.07650849,2013
Sweden (S),Traneröds mosse,F7,S.fuscum,56.04455,13.18672,20.22919121,-28.43709083,74.718089175,-10.07850989,-8.744557222,-11.27933621,-10.14302549,-8.638507786,-11.59939755,38.3,168,15.009169515,535.61996357,358.07650849,2013
Sweden (S),Traneröds mosse,M5,S.magellanicum,56.04455,13.18672,21.41097369,-28.49948854,43.5280113233333,-10.07850989,-8.744557222,-11.27933621,-10.14302549,-8.638507786,-11.59939755,15.5,168,15.009169515,535.61996357,358.07650849,2013
Sweden (S),Traneröds mosse,M7,S.magellanicum,56.04455,13.18672,20.89173537,-30.30799918,130.57452232,-10.07850989,-8.744557222,-11.27933621,-10.14302549,-8.638507786,-11.59939755,40.2,168,15.009169515,535.61996357,358.07650849,2013
"Romania, Obcina Mestecanisului Mts",Găina-Lucina,1,S.fuscum,47.65944444,25.18222222,22.28651355,-28.34298282,407.388534913333,-10.73276607,-8.649215221,-12.71006942,-9.98640943,-8.623967201,-12.39488032,81,1212,13.2152801528333,516.27679377,483.7255925,2013
"Romania, Obcina Mestecanisului Mts",Găina-Lucina,3,S.fuscum,47.65944444,25.18222222,21.74862583,-28.08111702,480.792639766667,-10.73276607,-8.649215221,-12.71006942,-9.98640943,-8.623967201,-12.39488032,58,1212,13.2152801528333,516.27679377,483.7255925,2013
"Romania, Obcina Mestecanisului Mts",Găina-Lucina,1,S.magellanicum,47.65944444,25.18222222,20.14772281,-30.54020049,9.32767162,-10.73276607,-8.649215221,-12.71006942,-9.98640943,-8.623967201,-12.39488032,33.5,1212,13.2152801528333,516.27679377,483.7255925,2013
"Romania, Obcina Mestecanisului Mts",Găina-Lucina,3,S.magellanicum,47.65944444,25.18222222,20.09373773,-28.83295827,345.0813871,-10.73276607,-8.649215221,-12.71006942,-9.98640943,-8.623967201,-12.39488032,43.5,1212,13.2152801528333,516.27679377,483.7255925,2013
"Romania, Apuseni Mts",Molhașul Mare de la Izbuc,1,S.fuscum,46.58972222,22.76111111,23.60328787,-27.41929214,363.90658175,-10.21810329,-8.21265467,-12.10835028,-9.855624304,-8.325970657,-11.82208441,48,1208,17.7439768483333,405.56211023,368.06885294,2013
"Romania, Apuseni Mts",Molhașul Mare de la Izbuc,3,S.fuscum,46.58972222,22.76111111,22.63408906,-28.12101064,291.9002123,-10.21810329,-8.21265467,-12.10835028,-9.855624304,-8.325970657,-11.82208441,29.4,1208,17.7439768483333,405.56211023,368.06885294,2013
"Romania, Apuseni Mts",Molhașul Mare de la Izbuc,1,S.magellanicum,46.58972222,22.76111111,22.25291302,-27.67502046,328.365180466667,-10.21810329,-8.21265467,-12.10835028,-9.855624304,-8.325970657,-11.82208441,35,1208,17.7439768483333,405.56211023,368.06885294,2013
"Romania, Apuseni Mts",Molhașul Mare de la Izbuc,3,S.magellanicum,46.58972222,22.76111111,22.71989883,-27.78549509,345.774946933333,-10.21810329,-8.21265467,-12.10835028,-9.855624304,-8.325970657,-11.82208441,23.5,1208,17.7439768483333,405.56211023,368.06885294,2013
"Romania, Ciomatu Mts",Tinovul Mohoș bog,2,S.fuscum,46.13638889,25.90277778,23.54909222,-28.5271072,115.68294411,-9.805899302,-7.886963685,-11.6073308,-8.94351551,-7.720971345,-11.54987349,33.5,1048,16.6366007466667,456.16271253,444.55807615,2013
"Romania, Ciomatu Mts",Tinovul Mohoș bog,3,S.fuscum,46.13638889,25.90277778,23.04145967,-27.45509411,596.461429566667,-9.805899302,-7.886963685,-11.6073308,-8.94351551,-7.720971345,-11.54987349,54,1048,16.6366007466667,456.16271253,444.55807615,2013
"Romania, Ciomatu Mts",Tinovul Mohoș bog,1,S.magellanicum,46.13638889,25.90277778,22.23755758,-27.27506137,125.690021233333,-9.805899302,-7.886963685,-11.6073308,-8.94351551,-7.720971345,-11.54987349,18,1048,16.6366007466667,456.16271253,444.55807615,2013
"Romania, Ciomatu Mts",Tinovul Mohoș bog,3,S.magellanicum,46.13638889,25.90277778,22.70273688,-28.24785188,160.651096956667,-9.805899302,-7.886963685,-11.6073308,-8.94351551,-7.720971345,-11.54987349,16,1048,16.6366007466667,456.16271253,444.55807615,2013
"Romania, Gutâi Mts",Tăul lui Dumitru bog,1,S.magellanicum,47.82472222,23.69833333,20.7978,-27.8807,409.660297225,-9.862513026,-7.914486647,-11.67864633,-9.532172078,-7.993583431,-11.40132067,10.5,1142,16.5312489816667,460.05885827,591.56640095,2014
"Romania, Gutâi Mts",Tăul lui Dumitru bog,3,S.magellanicum,47.82472222,23.69833333,20.8418,-27.1241,299.334748766667,-9.862513026,-7.914486647,-11.67864633,-9.532172078,-7.993583431,-11.40132067,14,1142,16.5312489816667,460.05885827,591.56640095,2014
"Romania, Maramureș Mts",Tăul Obcioarei bog,1,S.fuscum,47.68486111,24.53666667,23.43166832,-27.47657529,567.133758,-10.6048762,-8.537153085,-12.56385207,-10.05569543,-8.585870048,-12.22472642,38,1043,15.0659678133333,518.24501177,459.52736736,2013
"Romania, Maramureș Mts",Tăul Obcioarei bog,2,S.fuscum,47.68486111,24.53666667,23.28624334,-27.1226473,491.56050955,-10.6048762,-8.537153085,-12.56385207,-10.05569543,-8.585870048,-12.22472642,12,1043,15.0659678133333,518.24501177,459.52736736,2013
