"","Time","Observed","Modeled","Seasonal","Diel","Noise"
"8331","2012.12.14 03:00","0.076","1.00060773517537","-3.06965088770992","0.29483310918666","-0.924607735175366"
"8332","2012.12.14 04:00","0.074","0.906456818822831","-3.07150384340373","0.202535148527929","-0.832456818822831"
"8333","2012.12.14 05:00","0.073","0.724288932273484","-3.07335521893206","0.0222186375069093","-0.651288932273484"
"8334","2012.12.14 06:00","0.071","0.494610949343421","-3.07520501334245","-0.20560955101276","-0.423610949343421"
"8335","2012.12.14 07:00","0.069","0.273479469077607","-3.07705322568326","-0.424892818937758","-0.204479469077607"
"8336","2012.12.14 08:00","0.068","0.117813282090766","-3.07889985500367","-0.578712376604195","-0.0498132820907658"
"8337","2012.12.14 09:00","0.066","0.0702614350765534","-3.08074490035365","-0.624419178268429","-0.00426143507655335"
"8338","2012.12.14 10:00","0.064","0.147673739468212","-3.082588360784","-0.545163413446422","-0.0836737394682117"
"8339","2012.12.14 11:00","0.063","0.336270243102383","-3.08443023534633","-0.354725035249916","-0.273270243102383"
"8340","2012.12.14 12:00","0.061","0.594825638213433","-3.08627052309308","-0.0943293523921181","-0.533825638213433"
"8341","2012.12.14 13:00","0.059","0.865049936845233","-3.08810922307748","0.177733646224086","-0.806049936845233"
"8342","2012.12.14 14:00","0.058","1.08642910898856","-3.08994633435361","0.400949929643547","-1.02842910898856"
"8343","2012.12.14 15:00","0.056","1.21160186623393","-3.09178185597635","0.527958208511645","-1.15560186623393"
"8344","2012.12.14 16:00","0.054","1.2182090735057","-3.09361578700138","0.536399346808456","-1.1642090735057"
"8345","2012.12.14 17:00","0.053","1.11409755398339","-3.09544812648524","0.434120166769997","-1.06109755398339"
"8346","2012.12.14 18:00","0.051","0.93453702706375","-3.09727887348524","0.256390386850358","-0.88353702706375"
"8347","2012.12.14 19:00","0.049","0.732241703406256","-3.09910802705955","0.055924216767172","-0.683241703406256"
"8348","2012.12.14 20:00","0.048","0.562905674478466","-3.10093558626714","-0.11158425295303","-0.514905674478466"
"8349","2012.12.14 21:00","0.046","0.470150558586464","-3.1027615501678","-0.202513404944368","-0.424150558586464"
"8350","2012.12.14 22:00","0.044","0.473927087061615","-3.10458591782215","-0.196912508814868","-0.429927087061615"
"8351","2012.12.14 23:00","0.043","0.565472022339031","-3.10640868829162","-0.103544803067977","-0.522472022339031"
"8352","2012.12.15 00:00","0.041","0.710150945552381","-3.10822986063848","0.0429552924922315","-0.669150945552381"
"8353","2012.12.15 01:00","0.04","0.857391502843044","-3.1100494339258","0.192015423070212","-0.817391502843044"
"8354","2012.12.15 02:00","0.04","0.955001174506706","-3.11186740721748","0.291443068025556","-0.915001174506706"
"8355","2012.12.15 03:00","0.04","0.963981168400449","-3.11368377957825","0.302239434280074","-0.923981168400449"
"8356","2012.12.15 04:00","0.041","0.869810989796794","-3.11549855007367","0.209884026171832","-0.828810989796794"
"8357","2012.12.15 05:00","0.041","0.687123599062417","-3.1173117177701","0.0290098031338846","-0.646123599062417"
"8358","2012.12.15 06:00","0.042","0.456465544151745","-3.11912328173474","-0.199836687812149","-0.414465544151745"
"8359","2012.12.15 07:00","0.043","0.233964336619717","-3.12093324103561","-0.420527936043305","-0.190964336619717"
"8360","2012.12.15 08:00","0.043","0.0766359818747251","-3.12274159474156","-0.576047937082341","-0.0336359818747251"
"8361","2012.12.15 09:00","0.044","0.0272463323729695","-3.12454834192228","-0.623630839403383","0.0167536676270305"
"8362","2012.12.15 10:00","0.044","0.102773572996176","-3.12635348164825","-0.546298459054206","-0.0587735729961763"
"8363","2012.12.15 11:00","0.045","0.289568908558379","-3.12815701299081","-0.357699592149444","-0.244568908558379"
"8364","2012.12.15 12:00","0.046","0.546532027846709","-3.12995893502211","-0.0989345508298147","-0.500532027846709"
"8365","2012.12.15 13:00","0.046","0.815483285213554","-3.13175924681513","0.171817018330052","-0.769483285213554"
"8366","2012.12.15 14:00","0.047","1.03599687221628","-3.13355794744369","0.394129305961342","-0.988996872216281"
"8367","2012.12.15 15:00","0.047","1.16077166731686","-3.13535503598243","0.520701189600662","-1.11377166731686"
"8368","2012.12.15 16:00","0.048","1.16747664527918","-3.13715051150682","0.529201643087372","-1.11947664527918"
"8369","2012.12.15 17:00","0.048","1.06395287745637","-3.13894437309316","0.427471736850897","-1.01595287745637"
"8370","2012.12.15 18:00","0.049","0.885430978243593","-3.14073661981857","0.250742084363532","-0.836430978243593"
"8371","2012.12.15 19:00","0.05","0.684555479144775","-3.14252725076102","0.0516572162071678","-0.634555479144775"
"8372","2012.12.15 20:00","0.053","0.516925070704177","-3.14431626499931","-0.114184177995147","-0.463925070704177"
"8373","2012.12.15 21:00","0.061","0.426046836517708","-3.14610366161305","-0.203275015567876","-0.365046836517708"
"8374","2012.12.15 22:00","0.069","0.43174570812261","-3.1478894396827","-0.195790365893324","-0.36274570812261"
"8375","2012.12.15 23:00","0.077","0.525129991928515","-3.14967359828955","-0.100621923480567","-0.448129991928515"
"8376","2012.12.16 00:00","0.085","0.671442916677962","-3.15145613651572","0.0474735394950534","-0.586442916677962"
"8377","2012.12.16 01:00","0.093","0.820004193250945","-3.15323705344417","0.197815732996484","-0.727004193250945"
"8378","2012.12.16 02:00","0.099","0.918535086046345","-3.15501634815869","0.298125920506403","-0.819535086046346"
"8379","2012.12.16 03:00","0.098","0.92797810335057","-3.1567940197439","0.309346609395839","-0.82997810335057"
"8380","2012.12.16 04:00","0.093","0.833785469164856","-3.15857006728526","0.216930022751486","-0.740785469164856"
"8381","2012.12.16 05:00","0.088","0.650596028647231","-3.16034448986907","0.0355150048176702","-0.562596028647231"
"8382","2012.12.16 06:00","0.083","0.418994862640838","-3.16211728658245","-0.19431336447534","-0.335994862640838"
"8383","2012.12.16 07:00","0.078","0.195177923260557","-3.16388845651338","-0.416359133924693","-0.117177923260557"
"8384","2012.12.16 08:00","0.073","0.0362547958209722","-3.16565799875066","-0.573512719127002","0.0367452041790278"
"8385","2012.12.16 09:00","0.068","-0.0148964121281669","-3.16742591238392","-0.622896013442875","0.0531035878718331"
"8386","2012.12.16 10:00","0.062","0.058825701035794","-3.16919219650366","-0.54740761615918","0.00317429896420601"
"8387","2012.12.16 11:00","0.057","0.243898085604803","-3.17095685020118","-0.360570577892649","-0.186898085604803"
"8388","2012.12.16 12:00","0.052","0.499340129451949","-3.17271987256864","-0.103365511678038","-0.447340129451949"
"8389","2012.12.16 13:00","0.047","0.767077707068339","-3.17448126269904","0.166133456068752","-0.720077707068339"
"8390","2012.12.16 14:00","0.042","0.986769213771786","-3.17624101968622","0.387584719759377","-0.944769213771786"
"8391","2012.12.16 15:00","0.043","1.11117075586599","-3.17799914262485","0.513744384792209","-1.06817075586599"
"8392","2012.12.16 16:00","0.048","1.11797775871722","-3.17975563061044","0.52230787562903","-1.06997775871722"
"8393","2012.12.16 17:00","0.053","1.01502527627853","-3.18151048273936","0.421110245319265","-0.962025276278534"
