"","scenario","gdp","CS","damage","forcimb","tempoff","discount1.005","discount1.006","discount1.007","discount1.008","discount1.009","discount1.01","discount1.011","discount1.012","discount1.013","discount1.014","discount1.015","discount1.016","discount1.017","discount1.018","discount1.019","discount1.02","discount1.021","discount1.022","discount1.023","discount1.024","discount1.025","discount1.026","discount1.027","discount1.028","discount1.029","discount1.03","discount1.031","discount1.032","discount1.033","discount1.034","discount1.035","discount1.036","discount1.037","discount1.038","discount1.039","discount1.04","discount1.041","discount1.042","discount1.043","discount1.044","discount1.045","discount1.046","discount1.047","discount1.048","discount1.049","discount1.05","discount1.051","discount1.052","discount1.053","discount1.054","discount1.055","discount1.056","discount1.057","discount1.058","discount1.059","discount1.06","discount1.061","discount1.062","discount1.063","discount1.064","discount1.065","discount1.066","discount1.067","discount1.068","discount1.069","discount1.07","discount1.071","discount1.072","discount1.073","discount1.074","discount1.075","discount1.076","discount1.077","discount1.078","discount1.079","discount1.08","discount1.081","discount1.082","discount1.083","discount1.084","discount1.085","discount1.086","discount1.087","discount1.088","discount1.089","discount1.09","discount1.091","discount1.092","discount1.093","discount1.094","discount1.095","discount1.096","discount1.097","discount1.098","discount1.099","discount1.1","discount1.101","discount1.102","discount1.103","discount1.104","discount1.105","discount1.106","discount1.107","discount1.108","discount1.109","discount1.11","discount1.111","discount1.112","discount1.113","discount1.114","discount1.115","discount1.116","discount1.117","discount1.118","discount1.119","discount1.12","discount1.121","discount1.122","discount1.123","discount1.124","discount1.125","discount1.126","discount1.127","discount1.128","discount1.129","discount1.13","discount1.131","discount1.132","discount1.133","discount1.134","discount1.135","discount1.136","discount1.137","discount1.138","discount1.139","discount1.14","discount1.141","discount1.142","discount1.143","discount1.144","discount1.145","discount1.146","discount1.147","discount1.148","discount1.149","discount1.15"
"1","RCP3PD","GDPlow",1.5,1.5,0.75,0,10.7126367600776,11.8308918731831,13.0108290423792,14.2435289697783,15.5197406630789,16.8302963095052,18.1664464839115,19.5201034387195,20.8839939876827,22.2517330095261,23.6178336243686,24.9776713790842,26.3274184974195,27.663961557121,28.9848127835779,30.2880221114914,31.5720945707295,32.8359155435711,34.0786849888623,35.2998607469345,36.4991104471484,37.6762712097982,38.8313161959863,39.9643270456679,41.0754712886351,42.1649839115419,43.2331523590739,44.2803043592025,45.3067980599056,46.3130140429054,47.2993488715704,48.2662098807018,49.2140109754603,50.1431692500227,51.0541022754128,51.9472259253005,52.8229526471843,53.6816900905359,54.5238400324795,55.3497975408926,56.1599503359983,56.9546783108225,57.7343531858843,58.4993382702543,59.2499883116401,59.986649417521,60.709659036348,61.4193459852431,62.1160305176174,62.8000244204162,63.4716311376084,64.1311459126741,64.7788559446792,65.4150405601456,66.0399713878707,66.6539125456066,67.2571208271118,67.8498458919525,68.4323304581018,69.0048104921088,69.5675154007163,70.1206682178992,70.6644857897087,71.1991789582108,71.7249527407706,72.2420065033536,72.7505341338083,73.2507242076859,73.7427601517521,74.2268204021504,74.703078557049,75.1717035285546,75.632859686557,76.0867069979436,76.5334011651463,76.9730937574632,77.405932338419,77.8320605903765,78.2516184331511,78.6647421404002,79.0715644525023,79.4722146821625,79.8668188224806,80.2554996460742,80.6383768029579,81.0155669146226,81.3871836684823,81.7533378998902,82.114137684707,82.4696884155564,82.8200928857733,83.1654513627245,83.5058616656317,83.8414192332013,84.1722171985984,84.498346450796,84.8198957033808,85.136951555388,85.4495985525541,85.7579192453745,86.0619942467813,86.3619022855746,86.6577202604712,86.9495232914945,87.2373847682041,87.5213763986896,87.8015682568485,88.0780288253934,88.3508250401391,88.6200223327228,88.8856846709601,89.1478745982386,89.4066532708712,89.6620804970016,89.9142147711041,90.1631133094158,90.4088320824787,90.6514258490903,90.8909481873873,91.1274515250676,91.3609871700032,91.5916053387202,91.8193551835413,92.0442848214853,92.2664413578701,92.4858709150644,92.7026186539224,92.916728801812,93.1282446706413,93.3372086850598,93.5436624004994,93.7476465268112,93.9492009457624,94.148364736738,94.3451761903042,94.539672832088,94.7318914363306,94.921868049363,95.109638002271,95.2952359309799,95.4786957905342,95.6600508726915,95.8393338213021,96.0165766462701,96.1918107394796,96.3650668886255
"2","RCP3PD","GDPlow",1.5,2,0.75,0,12.0464090143492,13.0724194413766,14.132440595211,15.2200925379075,16.3292679553643,17.4542784683097,18.5899498521227,19.7316719793622,20.8754118280075,22.0176986713313,23.1555901026818,24.286626341032,25.4087787484906,26.5203969584635,27.6201576388408,28.7070167943472,29.78016664228,30.8389974798901,31.8830645335449,32.9120595245732,33.9257865323374,34.9241416745897,35.9070961127222,36.8746819065209,37.8269802874552,38.764111964946,39.6862291306338,40.5935088725792,41.4861477564495,42.3643573755853,43.2283606883638,44.0783890176954,44.9146795844618,45.7374734871014,46.5470140458018,47.343545447277,48.1273116404664,48.8985554338849,49.6575177671684,50.4044371196517,51.1395490376756,51.8630857587535,52.5752759151284,53.276344305057,53.9665117200497,54.6459948179412,55.3150060355918,55.9737535323857,56.6224411616657,57.2612684638781,57.8904306776402,58.51011876731,59.1205194619204,59.721815304251,60.3141847094179,60.8978020287118,61.4728376191957,62.0394579186588,62.5978255214035,63.1480992580266,63.6904342762586,64.2249821237933,64.7518908296414,65.2713049866141,65.7833658357568,66.2882113446273,66.7859762922519,67.2767923450158,67.7607881397031,68.2380893575659,68.7088188017967,69.1730964724675,69.6310396386949,70.082762911509,70.5283783113688,70.9679953381153,71.4017210370226,71.8296600627603,72.251914743454,72.6685851407126,73.0797691113023,73.4855623633251,73.8860585137948,74.2813491421563,74.6715238461707,75.0566702909959,75.4368742608629,75.8122197079954,76.1827887996615,76.5486619640637,76.9099179349108,77.2666337965291,77.6188850229288,77.9667455218981,78.3102876717901,78.649582362777,78.9846990318117,79.3157057002614,79.6426690092904,79.9656542525773,80.2847254114906,80.5999451856463,80.9113750250667,81.2190751603552,81.5231046319862,81.8235213194115,82.1203819681035,82.4137422175431,82.7036566265729,82.9901786995806,83.273360910702,83.5532547286798,83.829910639268,84.1033781689108,84.3737059057784,84.6409415228642,84.9051317975858,85.1663226321275,85.4245590741823,85.679885335098,85.9323448095486,86.1819800935198,86.4288330011702,86.6729445831326,86.9143551430707,87.1531042539057,87.3892307735301,87.6227728608881,87.8537679900339,88.0822529668862,88.3082639406884,88.5318364209585,88.7530052885167,88.9718048106624,89.1882686534257,89.4024298932488,89.6143210313866,89.8239740034258,90.0314201934768,90.2366904430367,90.4398150647668,90.64082385112,90.8397460855666,91.0366105539779,91.2314455535022,91.4242789028732
"3","RCP3PD","GDPlow",1.5,3,0.75,0,14.0680198560407,14.9113071856944,15.76297940971,16.6203010199207,17.4808470794302,18.3424964251585,19.2034159017224,20.0620387809373,20.9170399560494,21.7673099098576,22.611928913101,23.4501424443009,24.2813384428663,25.1050267218416,25.920820656968,26.7284211237057,27.5276025622458,28.3182009978112,29.1001038151061,29.8732410823822,30.6375782250466,31.3931098615219,32.1398546322652,32.8778508726439,33.607152997732,34.327828484693,35.0399553579278,35.7436200927739,36.4389158702823,37.1259411214361,37.8047983180395,38.4755929624061,39.1384327483318,39.7934268615375,40.4406853968959,41.0803188754812,41.7124378409848,42.3371525270769,42.9545725799394,43.5648068307269,44.167963107614,44.764148082971,45.3534671480996,45.9360243129747,46.5119221270261,47.0812616161958,47.6441422358369,48.2006618358339,48.750916636186,49.295001211086,49.8330084823924,50.3650297176081,50.8911545349018,51.4114709113017,51.9260651967294,52.4350221291516,52.9384248544954,53.4363549469783,53.9288924330885,54.416115815934,54.8981021010216,55.3749268229346,55.8466640734961,56.3133865297415,56.7751654817538,57.2320708624931,57.684171275532,58.1315340246235,58.574225141865,59.0123094166196,59.4458504236294,59.8749105502861,60.2995510255871,60.7198319452733,61.1358123002255,61.5475500018586,61.9551019078978,62.358523846825,62.757870644008,63.153196144347,63.5445532366491,63.9319938756277,64.3155691051188,64.6953290797423,65.0713230858106,65.4435995618738,65.812206119259,66.1771895620694,66.538595904722,66.8964703918199,67.2508575162785,67.6018010352906,67.9493439885951,68.2935287148676,68.6343968674761,68.971989429468,69.3063467302711,69.6375084583331,69.9655136771617,70.2904008375397,70.6122077924329,70.9309718083816,71.2467295802626,71.5595172411345,71.8693703759988,72.176324032499,72.4804127318374,72.781670480669,73.0801307808073,73.3758266399094,73.6687905810709,73.9590546531129,74.2466504393621,74.5316090671348,74.813961216749,75.0937371295333,75.3709666167495,75.6456790682498,75.9179034587435,76.1876683573101,76.4550019342903,76.7199319680792,76.9824858527715,77.2426906050539,77.5005728712291,77.7561589324625,78.009474713088,78.2605457855992,78.5093973769584,78.7560543748093,79.0005413332639,79.2428824774933,79.4831017112824,79.7212226203508,79.9572684789855,80.1912622541519,80.4232266114288,80.6531839198376,80.8811562548011,81.1071654058756,81.3312328786969,81.5533799007421,81.7736274256009,81.9919961366549,82.2085064519381,82.4231785276551
"4","RCP3PD","GDPref",1.5,1.5,0.75,0,5.51375339836698,6.03459765293465,6.61506408318305,7.25587938977211,7.95668013832832,8.71603455272849,9.5315255624486,10.3998836773452,11.3171539013315,12.2788793527167,13.2802853293103,14.3164505458027,15.3824562683327,16.473508213018,17.5850297146809,18.7127274538111,19.8526328466561,21.0011231505967,22.1549265891905,23.3111155798268,24.467091651323,25.6205650112931,26.7695310942779,27.9122458341977,29.047200905139,30.1730997785086,31.2888351225271,32.3934678477936,33.4862079341703,34.5663970558154,35.6334929562236,36.6870554730146,37.7267340909833,38.7522568897166,39.7634207517824,40.7600827016338,41.7421522543162,42.7095846582944,43.6623749348826,44.6005526185841,45.5241771200988,46.433333635437,47.3281295392792,48.2086912047653,49.0751611990964,49.9276958129355,50.7664628814953,51.5916398640495,52.4034121556699,53.2019715966789,53.9875151641367,54.7602438226391,55.5203615095606,56.2680742523336,57.0035893889563,57.727114889163,58.4388587621393,59.1390285385848,59.8278308213866,60.505470898957,61.1721524081844,61.8280770462786,62.473444325302,63.1084513617523,63.7332927011183,64.3481601707798,64.953242757574,65.5487265096003,66.1347944580409,66.7116265555357,67.2793996313885,67.8382873601159,68.3884602425052,68.9300855955497,69.4633275554063,69.9883470840959,70.5053019855276,71.014346929488,71.5156334756612,72.0093101086077,72.4955222709939,72.9744124045617,73.4461199917146,73.9107815971177,74.368530917576,74.8194988276028,75.2638134280822,75.7016000977091,76.1329815421822,76.558077845281,76.9770065209109,77.3898825635324,77.7968185009472,78.1979244444458,78.5933081391637,78.9830750162665,79.3673282411615,79.7461687647112,80.1196953706987,80.4880047244068,80.8511914210207,81.2093480304295,81.5625651449024,81.91093142383,82.2545336374333,82.593456710736,82.9277837660278,83.2575961640578,83.5829735461738,83.9039938724826,84.220733463763,84.5332670368813,84.8416677433432,85.146007206281,85.4463555558799,85.7427814643661,86.0353521798769,86.3241335596378,86.6091901032517,86.8905849829536,87.168380076395,87.4426359953002,87.7134121165496,87.9807666080896,88.2447564609115,88.5054375128955,88.7628644768352,89.0170909678319,89.2681695257146,89.5161516422519,89.7610877843292,90.0030274173005,90.2420190284382,90.4781101480871,90.7113473736051,90.9417763883793,91.169441983802,91.3943880788738,91.616657741048,91.8362932035159,92.0533358859666,92.2678264106209,92.4798046219466,92.6893096037233,92.8963796946681,93.1010525067284
"5","RCP3PD","GDPref",1.5,2,0.75,0,6.54410643339514,7.10675223082423,7.7163940018721,8.37171811333988,9.07075839059535,9.8109916792519,10.5894511110634,11.4028470274761,12.2476864083542,13.1203834397467,14.0173560802627,14.9351057471553,15.8702792327969,16.8197135112516,17.7804651439439,18.7498265878399,19.7253319183949,20.7047544219387,21.68609827732,22.6675862189548,23.6476447230433,24.6248879164074,25.5981011000455,26.5662245265644,27.5283378594437,28.4836455825681,29.4314635075542,30.3712064392673,31.3023769980578,32.2245555589165,33.1373912431428,34.0405938830796,34.9339268745831,35.8172008345376,36.6902679780266,37.5530171417962,38.4053693776634,39.2472740548696,40.0787054119781,40.8996595046221,41.7101515029507,42.5102132990707,43.2998913887915,44.0792449899544,44.8483443766902,45.6072694020115,46.3561081839247,47.0949559403702,47.8239139556765,48.5430886588201,49.2525908092151,49.952534769376,50.6430378614637,51.3242197942914,51.9962021552279,52.6591079596448,53.3130612507414,53.9581867466007,54.594609524928,55.2224547472649,55.8418474148017,56.4529121510837,57.0557730154001,57.6505533351667,58.2373755611625,58.8163611406509,59.3876304090735,59.9513024937698,60.5074952335062,61.056325109044,61.5979071843938,62.1323550582533,62.6597808233392,63.1802950335816,63.6940066785234,64.20102316261,64.7014502929233,65.1953922671569,65.6829516705546,66.1642294727891,66.6393250312972,67.1083360949806,67.5713588129203,68.028487744056,68.479815867733,68.9254345996265,69.3654338048128,69.7999018160389,70.2289254498993,70.6525900262338,71.0709793877991,71.4841759198602,71.8922605706609,72.2953128739627,72.6934109688241,73.0866316220447,73.4750502504876,73.8587409426393,74.2377764812831,74.6122283652355,74.982166831536,75.347660877162,75.7087782821585,76.0655856298089,76.4181483293924,76.7665306362856,77.1107956753948,77.4510054596638,77.7872209120343,78.119501885079,78.4479071818789,78.7724945754885,79.0933208279571,79.4104417101023,79.723912020366,80.0337856027215,80.3401153660578,80.6429533008321,80.942350497451,81.2383571631065,81.5310226389061,81.820395416841,82.1065231556738,82.3894526964978,82.6692300801036,82.9459005600374,83.2195086193834,83.4900979852092,83.7577116427437,84.0223918494913,84.2841801496202,84.5431173869517,84.7992437197119,85.0525986309185,85.3032209447315,85.5511488352507,85.7964198424961,86.0390708811356,86.2791382552014,86.516657666679,86.7516642298324,86.984192480142,87.2142763851395,87.4419493573773,87.6672442617067,87.8901934276689
"6","RCP3PD","GDPref",1.5,3,0.75,0,8.5101412569456,9.09368466112091,9.70269285014796,10.3349991167437,10.9883546377807,11.6604860983964,12.349145218139,13.05214920197,13.7674119651633,14.4929666151722,15.2269801001909,15.9677611732058,16.7137629064096,17.4635809608837,18.2159487133917,18.9697301958445,19.7239116409823,20.4775922670035,21.2299747867728,21.980355999536,22.7281177145793,23.4727181725804,24.2136840628159,24.9506031838639,25.683117759543,26.4109183985663,27.1337386659204,27.8513502270072,28.5635585196628,29.2701989055241,29.9711332551246,30.6662469215675,31.3554460589112,32.038655249343,32.7158154014749,33.3868818888739,34.0518229010151,34.7106179808106,35.3632567259424,36.009737636305,36.6500670883131,37.284258422569,37.9123311305086,38.5343101292637,39.1502251137738,39.7601099789247,40.364002301746,40.961942878245,41.5539753092769,42.1401456286731,42.7205019695436,43.2950942664683,43.8639739870131,44.4271938912213,44.9848078161949,45.5368704824084,46.0834373200078,46.6245643136145,47.1603078628756,47.690724657725,48.2158715667604,48.7358055373427,49.2505835068897,49.7602623241215,50.2648986775417,50.7645490336978,51.2592695817592,51.7491161845863,52.2341443354412,52.7144091204297,53.1899651864347,53.6608667112595,54.1271673798149,54.5889203629091,55.046178299097,55.4989932799608,55.9474168375878,56.3914999339815,56.8312929540454,57.2668456986548,57.6982073800852,58.1254266200966,58.5485514470856,58.9676292965572,59.3827070116148,59.793830844688,60.2010464596025,60.6043989353348,61.0039327693067,61.3996918828106,61.7917196248576,62.1800587781878,62.5647515650312,62.9458396526262,63.3233641599818,63.697365664842,64.0678842094878,64.434959308301,64.7986299543844,65.1589346267555,65.5159112976331,65.8695974393595,66.2200300318495,66.5672455694263,66.9112800682014,67.2521690735491,67.589947666463,67.9246504710948,68.2563116614165,68.5849649685965,68.910643687546,69.2333806829154,69.5532083975748,69.8701588570541,70.1842636772812,70.4955540706127,70.8040608523393,71.1098144458974,71.4128448897799,71.7131818440463,72.0108545939769,72.3058920578202,72.5983227923813,72.888174996149,73.1754765180427,73.4602548601329,73.7425371842306,74.0223503163228,74.2997207514232,74.5746746596225,74.8472378892642,75.1174359726826,75.3852941309104,75.6508372776154,75.9140900233841,76.1750766815267,76.4338212700722,76.6903475184204,76.9446788688734,77.1968384831624,77.446849244334,77.6947337622903,77.9405143762253,78.1842131590103,78.4258519210146,78.6654522131455
"7","RCP3PD","GDPhigh",1.5,1.5,0.75,0,3.61022099921192,3.81838993993993,4.05601435962038,4.32593465942743,4.63083974771962,4.973171971193,5.35503680695635,5.77812398339476,6.24364582490502,6.75229700741774,7.30423783066201,7.89910088860543,8.53601899365405,9.21367064965359,9.93033842144154,10.6839752439325,11.4722739605577,12.2927360345344,13.1427362620348,14.0195812677201,14.9205604688019,15.8429889567843,16.7842423463083,17.7417840638637,18.7131858077178,19.6961420535808,20.6884795114347,21.68816241523,22.6932944549378,23.7021180676188,24.7130117073327,25.7244856088641,26.7351764774897,27.7438414472076,28.7493515872238,29.750685167821,30.7469208580548,31.7372309786507,32.7208749049142,33.6971926876788,34.6655989398091,35.625577019035,36.5766735259422,37.5184931235353,38.4506936833473,39.372981751845,40.2851083277226,41.1868649422148,42.0780800250955,42.9586155471294,43.8283639174873,44.6872451286517,45.5352041244952,46.3722083848864,47.1982457066324,48.013322169615,48.8174602701649,49.6106972177552,50.3930833726284,51.1646808206617,51.9255620712147,52.6758088686363,53.4155111094233,54.1447658559207,54.8636764363582,55.5723516295165,56.2709049199111,56.9594538237575,57.638119276023,58.3070250759803,58.9662973829317,59.6160642595654,60.2564552641941,60.8876010728899,61.5096331497648,62.1226834407853,62.7268841043212,63.3223672647721,63.9092647961357,64.4877081242164,65.0578280527569,65.6197546081654,66.1736169007943,66.7195430025569,67.2576598402415,67.7880930989108,68.3109671411547,68.8264049343475,69.334527989171,69.8354563057452,70.3293083297294,70.8162009146557,71.2962492911571,71.7695670411854,72.2362660809188,72.6964566452839,73.1502472754675,73.5977448187324,74.0390544203267,74.4742795275356,74.9035218933604,75.3268815817846,75.7444569778434,76.1563447963766,76.5626400975835,76.9634362982108,77.3588251893159,77.7488969529324,78.1337401777968,78.5134418816708,78.8880875289994,79.2577610518495,79.6225448704426,79.9825199156744,80.337765650199,80.6883600902328,81.0343798301714,81.3759000623887,81.7129946014959,82.0457359076626,82.3741951085448,82.69844202235,83.0185451798906,83.334571849458,83.6465880560447,83.954658606972,84.2588471121113,84.5592160056623,84.8558265693011,85.1487389527672,85.4380121955732,85.7237042466563,86.0058719888422,86.2845712532832,86.5598568448123,86.8317825595356,87.100401205203,87.3657646187249,87.6279236878347,87.8869283664238,88.1428276960035,88.3956698215117,88.6455020095777,88.8923706659626,89.136321353237,89.3773988051755
"8","RCP3PD","GDPhigh",1.5,2,0.75,0,4.18084038540447,4.43511982510276,4.71902033123712,5.03425744484024,5.3822644281957,5.76414352992918,6.18063034720495,6.63207335562708,7.11842935446799,7.63927424747971,8.19382742101538,8.78098712341367,9.39937375795138,10.0473778768451,10.7232098558548,11.4249486491974,12.1505875802487,12.8980757207589,13.6653539835726,14.4503855478601,15.2511806303107,16.0658159046707,16.892449060427,17.7293290923012,18.5748029557887,19.4273192080508,20.2854292156658,21.1477864492353,22.0131443162451,22.8803529154294,23.7483550281968,24.6161816038007,25.4829469408633,26.3478437265215,27.2101380510944,28.0691644918634,28.9243213299782,29.775065946615,30.6209104306788,31.4614174140227,32.2961961471571,33.1248988145542,33.9472170911296,34.7628789314228,35.5716455823352,36.3733088152952,37.1676883579498,37.9546295216904,38.7340010089038,39.5056928897096,40.2696147367005,41.0256939071077,41.773873959485,42.5141132003798,43.2463833442507,43.9706682841023,44.6869629605836,45.3952723255488,46.0956103868354,46.7879993350904,47.4724687403284,48.1490548173381,48.8177997485983,49.4787510675922,50.1319610907502,50.7774863981754,51.4153873585856,52.0457276933487,52.6685740788265,53.2839957813099,53.892064323605,54.4928531818241,55.0864375059324,55.6728938668255,56.2523000235662,56.8247347136131,57.3902774587381,57.949008390935,58.5010080927115,59.0463574524858,59.5851375323044,60.1174294490723,60.6433142665,61.1628728972749,61.6761860147233,62.1833339728686,62.6843967356451,63.1794538110897,63.6685841955705,64.1518663207319,64.6293780073811,65.101196426485,65.567398061154,66.0280586755814,66.4832532878797,66.9330561452475,67.3775407018447,67.8167796040546,68.2508446717259,68.6798068882119,69.1037363882578,69.5227024512872,69.9367734938412,70.3460170650768,70.7504998451752,71.1502876411597,71.5454453889899,71.9360371528571,72.3221261275593,72.7037746417639,73.0810441619065,73.4539952953102,73.8226877965385,74.1871805733783,74.5475316931173,74.9037983881655,75.256037065559,75.6043033132513,75.9486519079674,76.2891368248856,76.6258112456284,76.9587275660816,77.2879374075378,77.6134916242917,77.9354403132159,78.2538328240165,78.5687177682628,78.8801430282232,79.188155768715,79.492802444275,79.7941288105105,80.0921799336285,80.3870001987495,80.6786333217776,80.9671223573261,81.2525097097278,81.5348371398563,81.8141457783368,82.0904761325652,82.3638680963521,82.6343609594471,82.9019934170908,83.1668035777973,83.428828974378,83.6881065708026,83.9446727723547
"9","RCP3PD","GDPhigh",1.5,3,0.75,0,5.44405644980506,5.77329530650259,6.12772335235201,6.50729513714075,6.91172163529257,7.3404848122761,7.79285881306436,8.26793611417656,8.76465685915411,9.28183964191295,9.81821218079974,10.3724405941974,10.9431563023118,11.5289798987762,12.1285416317319,12.7404983846612,13.3635472463219,13.9964359004122,14.6379701589876,15.2870190102195,15.9425175675645,16.6034682949989,17.2689408563181,17.9380708998438,18.6100580468298,19.2841633115295,19.9597061389606,20.6360612105994,21.3126551372436,21.9889631279382,22.664505703989,23.3388455068669,24.0115842328691,24.6823597180299,25.3508431856207,26.0167366619405,26.679770561447,27.3397014392107,27.9963099036111,28.6493986841174,29.29879084454,29.9443281333124,30.5858694621805,31.2232895052387,31.8564774065908,32.4853355928372,33.1097786782835,33.7297324585008,34.345132983707,34.9559257058192,35.562064694547,36.1635119142765,36.7602365597454,37.3522144442045,37.9394274353838,38.5218629375872,39.099513413027,39.6723759426057,40.2404518204545,40.8037461809448,41.3622676543407,41.9160280514968,42.4650420712342,43.0093270325633,43.5489026271187,44.0837906917776,44.614014999211,45.1396010654434,45.6605759713173,46.1769682006418,46.6888074891351,47.1961246874499,47.6989516331296,48.19732103507,48.6912663659803,49.1808217647601,49.6660219456531,50.1469021163557,50.623497901562,51.095845274576,51.5639804928851,52.0279400403965,52.4877605749467,52.9434788788033,53.395131815871,53.8427562900586,54.2863892093351,54.7260674519467,55.1618278365567,55.593707094876,56.0217418461112,56.4459685751002,56.8664236117802,57.2831431125285,57.696163044526,58.1055191702197,58.5112470351463,58.9133819545956,59.3119590050809,59.7070130134748,60.0985785501375,60.4866899208753,60.8713811612166,61.2526860312368,61.6306380105567,62.0052702947099,62.376615792115,62.7447071202924,63.1095766059637,63.4712562812934,63.8297778835871,64.1851728548636,64.53747234081,64.8867071910465,65.232907958895,65.5761049025623,65.9163279852822,66.2536068762008,66.5879709522451,66.9194492985466,67.2480707102197,67.5738636942248,67.8968564705952,68.2170769747699,68.534552858816,68.8493114943166,69.1613799740064,69.4707851133724,69.7775534541154,70.0817112650654,70.3832845454718,70.682299026416,70.9787801741008,71.2727531917376,71.5642430214068,71.8532743477727,72.1398715991623,72.4240589503575,72.7058603256967,72.9852994003014,73.2623996035256,73.5371841206496,73.8096758957049,74.0798976336394,74.3478718027243,74.6136206367961
"10","RCP3PD","GDPlow",1.5,1.5,0.84,0,10.1271103213583,11.2728564579519,12.4853535304661,13.7541620699474,15.0685692539927,16.4181133186975,17.7929827725969,19.1842817861786,20.5841729330313,21.9859199627331,23.3838573664183,24.773312256226,26.1504998989747,27.5124089872588,28.8566876733457,30.1815371465851,31.4856163335597,32.7679590584192,34.0279035992278,35.265033735497,36.4791300072541,37.670129765383,38.8380946347336,39.9831841357676,41.105634357624,42.2057407518924,43.283844265964,44.3403201713055,45.375569069615,46.3900096531234,47.3840728748157,48.3581972652365,49.3128251668533,50.2483997169511,51.1653624366882,52.0641513084886,52.9451992602368,53.8089329682838,54.6557719354572,55.4861277789532,56.3004037044585,57.0989941190149,57.8822843701524,58.6506505775542,59.4044595464861,60.1440687480663,60.8698263488486,61.5820712851969,62.2811333710927,62.967333434641,63.6409834729881,64.3023868279466,64.9518383711265,65.5896246997497,66.2160243377401,66.831307944911,67.4357385230163,68.0295716279498,68.613055577244,69.1864316591241,69.7499343389,70.3037914601289,70.8482244446423,71.3834484881892,71.9096727509239,72.4271005444415,72.9359295121429,73.4363518085483,73.9285542683431,74.4127185779266,74.8890214317964,75.3576346943244,75.8187255498592,76.2724566517864,76.7189862627785,77.1584683970324,77.5910529492621,78.0168858271285,78.436109075575,78.8488609964891,79.2552762657573,79.655486046163,80.0496180965505,80.4377968753821,80.8201436442163,81.196776564448,81.5678107919566,81.9333585685867,82.2935293117857,82.6484296967978,82.9981637420408,83.3428328877166,83.682536070675,84.0173698010247,84.3474282327182,84.6728032331658,84.9935844496756,85.3098593736228,85.6217134031458,85.9292299050542,86.2324902715488,86.531573975579,86.826558627859,87.1175200270115,87.4045322138236,87.6876675167908,87.9669966021459,88.2425885195127,88.5145107463076,88.7828292309775,89.0476084344097,89.3089113712828,89.5667996488404,89.8213335041397,90.0725718414094,90.3205722686024,90.5653911290188,90.8070835379224,91.0457034137339,91.2813035070449,91.5139354349983,91.7436497079004,91.9704957584473,92.194521971199,92.415775705741,92.634303325414,92.8501502232677,93.063360843604,93.2739787089815,93.4820464402717,93.6876057824754,93.8906976223649,94.0913620134954,94.289638194645,94.4855646092292,94.679178927172,94.87051806084,95.0596181847747,95.2465147530991,95.4312425173327,95.6138355425422,95.7943272226695,95.9727502991227,96.1491368728649,96.3235184224795,96.4959258170942
